IWD WU,IWD WB,IWD WR,IWD WG,IWD UB,IWD UR,IWD UG,IWD BR,IWD BG,IWD RG,Name,Color
-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,0.6,-4.5,-3.1,-4.5,Toxic Scorpion,G
-16.2,18.5,-16.2,-16.2,19.9,-16.2,-16.2,12.5,22.7,-16.2,"Toxrill, the Corrosive",UB
3.4,7.7,2.0,2.3,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Traveling Minister,W
2.3,4.5,0.4,1.8,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Twinblade Geist,W
4.7,4.7,4.7,6.8,4.7,4.7,5.0,4.7,8.7,4.7,Ulvenwald Oddity,G
-16.2,0.2,-16.2,-16.2,4.1,-16.2,-16.2,-2.0,-0.1,-16.2,Undead Butler,B
-16.2,0.2,-16.2,-16.2,0.4,-16.2,-16.2,-2.3,-0.7,-16.2,Undying Malice,B
-16.2,-3.7,-16.2,-16.2,0.5,-16.2,-16.2,-0.9,-0.7,-16.2,Unhallowed Phalanx,B
-0.4,0.5,-2.4,-2.5,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Unholy Officiant,W
3.9,6.1,1.1,2.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Valorous Stance,W
-2.3,-1.4,-5.1,-4.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Vampire Slayer,W
-16.2,0.3,-16.2,-16.2,3.2,-16.2,-16.2,-3.0,1.7,-16.2,Vampire's Kiss,B
1.0,1.0,2.9,1.0,1.0,1.1,1.0,1.8,1.0,1.0,Vampires' Vengeance,R
-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,8.1,-16.2,-2.8,-16.2,Vilespawn Spider,UG
2.8,5.4,1.9,-1.6,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Voice of the Blessed,W
7.4,7.4,7.5,7.4,7.4,10.9,7.4,6.7,7.4,7.4,Volatile Arsonist,R
-16.2,9.0,-16.2,-16.2,8.9,-16.2,-16.2,7.6,5.9,-16.2,Voldaren Bloodcaster,B
-3.7,-3.7,-1.8,-3.7,-3.7,1.3,-3.7,-1.2,-3.7,-3.7,Voldaren Epicure,R
-16.2,0.3,-5.8,-16.2,-16.2,-8.0,-16.2,-5.2,-16.2,-16.2,Voldaren Estate,
1.9,1.9,2.2,1.9,1.9,2.9,1.9,1.5,1.9,1.9,Voltaic Visionary,R
-16.2,-16.2,-16.2,-16.2,-16.2,5.1,-16.2,-16.2,-16.2,-16.2,Wandering Mind,UR
-1.6,-16.2,-16.2,-16.2,-1.9,-3.3,-1.0,-16.2,-16.2,-16.2,Wanderlight Spirit,U
-1.0,-16.2,-16.2,-16.2,-0.5,2.7,3.8,-16.2,-16.2,-16.2,Wash Away,U
-3.8,-3.8,-5.9,-3.8,-3.8,-3.8,-3.8,-5.5,-3.8,-3.8,Weary Prisoner,R
-0.8,-0.8,-0.8,0.2,-0.8,-0.8,6.1,-0.8,2.4,-0.8,Weaver of Blossoms,G
16.9,15.1,17.5,14.6,9.5,6.2,3.6,7.9,14.8,3.6,Wedding Announcement,W
-0.2,3.1,-4.6,-3.7,-1.2,0.3,-0.6,1.5,0.8,-0.3,Wedding Invitation,
-16.2,-3.1,-16.2,-16.2,2.6,-16.2,-16.2,-2.9,3.6,-16.2,Wedding Security,B
8.7,12.2,6.4,12.5,-16.2,-16.2,-16.2,4.1,-16.2,-16.2,Welcoming Vampire,W
1.8,-16.2,-16.2,-16.2,1.9,1.4,1.2,-16.2,-16.2,-16.2,Whispering Wizard,U
-8.0,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,-16.2,Winged Portent,UG
0.1,0.1,0.1,-0.4,0.1,0.1,4.1,0.1,0.3,0.1,Witch's Web,G
2.1,-16.2,-16.2,-16.2,0.9,-1.7,1.9,-16.2,-16.2,-16.2,Witness the Future,U
1.0,1.0,1.0,0.7,1.0,1.0,4.9,1.0,0.8,1.0,Wolf Strike,G
-0.2,-0.2,-0.2,-2.1,-0.2,-0.2,-1.8,-0.2,-0.4,-0.2,Wolfkin Outcast,G
-1.9,-16.2,-16.2,-16.2,3.2,-2.5,0.2,-16.2,-16.2,-16.2,Wretched Throng,U
